 elem_id      x-coord      y-coord      z-coord
     368          375          925            0
     369          425          925            0
     370          475          925            0
     371          525          925            0
     372          575          925            0
     373          625          925            0
     374          675          925            0
     375          725          925            0
     376          775          925            0
     377          825          925            0
     378          875          925            0
     379          925          925            0
     380          975          925            0
     381           25          975            0
     382           75          975            0
     383          125          975            0
     384          175          975            0
     385          225          975            0
     386          275          975            0
     387          325          975            0
     388          375          975            0
     389          425          975            0
     390          475          975            0
     391          525          975            0
     392          575          975            0
     393          625          975            0
     394          675          975            0
     395          725          975            0
     396          775          975            0
     397          825          975            0
     398          875          975            0
     399          925          975            0
     400          975          975            0
